FileName,Dye,Primer,AP_A1,AP_A2,AP_A3,AP_A4,AP_A5,AP_A6,AP_A7,AP_A8,AP_A9,AP_A10,AP_A11,AP_A12,AP_A13,AP_A14,AP_A15,AP_A16,AP_A17,AP_A18,AP_A19,AP_A20,AP_A21,AP_A22,AP_A23,AP_A24,AP_A25,AP_A26,AP_A27,AP_A28,AP_A29,AP_A30,AP_A31,AP_A32,AP_A33,AP_A34,AP_A35,AP_A36,AP_A37,AP_A38,AP_A39,AP_A40,AP_A41,AP_A42,AP_A43,AP_A44,AP_A45,AP_A46,AP_A47,AP_A48,AP_A49,AP_A50,AP_A51,AP_A52,AP_A53,AP_A54,AP_A55,AP_A56,AP_A57,AP_A58,AP_A59,AP_A60,AP_A61,AP_A62,AP_A63,AP_A64,AP_A65,AP_A66,AP_A67,AP_A68,AP_A69,AP_A70,AP_A71,AP_A72,AP_A73,AP_A74,AP_A75,AP_A76,AP_A77,AP_A78,AP_A79,AP_A80,AP_A81,AP_A82,AP_A83,AP_A84,AP_A85,AP_A86,AP_A87,AP_A88,AP_A89,AP_A90,AP_A91
13_010_2022-04-29_1.fsa,B_FAM,C1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
31_014_2022-04-29_1.fsa,B_FAM,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
40_015_2022-04-29_1.fsa,B_FAM,C1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
36_007_2022-05-01_1.fsa,B_FAM,C1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
39_013_2022-05-01_1.fsa,B_FAM,C1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
40_015_2022-05-01_1.fsa,B_FAM,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
5_009_2022-05-01_1.fsa,B_FAM,C1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
65_001_2022-05-02_1.fsa,B_FAM,C1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6_011_2022-05-01_1.fsa,B_FAM,C1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22_011_2022-04-30_1.fsa,B_FAM,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
