FileName,Dye,Primer,AP_B1,AP_B2,AP_B3,AP_B4,AP_B5,AP_B6,AP_B7,AP_B8,AP_B9,AP_B10,AP_B11,AP_B12,AP_B13,AP_B14,AP_B15,AP_B16,AP_B17,AP_B18,AP_B19,AP_B20,AP_B21,AP_B22,AP_B23,AP_B24,AP_B25,AP_B26,AP_B27,AP_B28,AP_B29,AP_B30,AP_B31,AP_B32,AP_B33,AP_B34,AP_B35,AP_B36,AP_B37,AP_B38,AP_B39,AP_B40,AP_B41,AP_B42,AP_B43,AP_B44,AP_B45,AP_B46,AP_B47,AP_B48,AP_B49,AP_B50
17_001_2022-04-29_1.fsa,G_HEX,C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
9_002_2022-04-29_1.fsa,G_HEX,C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1_001_2022-05-01_1.fsa,G_HEX,C2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66_003_2022-05-02_1.fsa,G_HEX,C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10_004_2022-04-29_1.fsa,G_HEX,C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11_006_2022-04-29_1.fsa,G_HEX,C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12_008_2022-04-29_1.fsa,G_HEX,C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13_010_2022-04-29_1.fsa,G_HEX,C2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14_012_2022-04-29_1.fsa,G_HEX,C2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15_014_2022-04-29_1.fsa,G_HEX,C2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
