ID,Fraction,RandN,InVol_ml,Pan_g,Dried_g,Burned_g
KL_AC12_9,C,1,4,0.782,0.836,0.827
KL_AC12_9,Z,1,5,0.798,0.814,0.808
SS_AC12_7,C,2,4,0.809,0.862,0.854
SS_AC12_7,Z,2,5,0.803,0.818,0.813
BD_AC10_7,C,3,4,0.803,0.859,0.849
BD_AC10_7,Z,3,5,0.809,0.825,0.821
SS_AC12_3,C,4,4,0.786,0.837,0.83
SS_AC12_3,Z,4,5,0.805,0.822,0.816
BD_AC10_3,C,5,4,0.804,0.848,0.843
BD_AC10_3,Z,5,5,0.792,0.805,0.802
BD_AC8_9,C,6,4,0.804,0.858,0.849
BD_AC8_9,Z,6,5,0.798,0.815,0.81
SS_AC10_9,C,7,4,0.799,0.862,0.853
SS_AC10_9,Z,7,5,0.801,0.819,0.813
KL_AC15_3,C,8,4,0.807,0.854,0.848
KL_AC15_3,Z,8,5,0.799,0.815,0.811
BD_AC10_1,C,9,4,0.8,0.859,0.848
BD_AC10_1,Z,9,5,0.8,0.819,0.812
KL_AC8_8,C,10,4,0.806,0.865,0.855
KL_AC8_8,Z,10,5,0.795,0.813,0.808
BD_AC15_4,C,11,4,0.801,0.848,0.841
BD_AC15_4,Z,11,5,0.81,0.823,0.821
SS_AC15_8,C,12,4,0.796,0.848,0.841
SS_AC15_8,Z,12,5,0.812,0.829,0.823
KL_AC12_3,C,13,4,0.791,0.843,0.835
KL_AC12_3,Z,13,5,0.8,0.817,0.812
KL_AC12_2,C,14,4,0.804,0.857,0.848
KL_AC12_2,Z,14,5,0.809,0.828,0.822
SS_AC15_7,C,15,4,0.811,0.865,0.858
SS_AC15_7,Z,15,5,0.804,0.818,0.816
SS_AC15_1,C,16,4,0.811,0.868,0.857
SS_AC15_1,Z,16,5,0.809,0.827,0.82
KL_AC8_3,C,17,4,0.812,0.869,0.86
KL_AC8_3,Z,17,5,0.789,0.807,0.8
SS_AC15_9,C,18,4,0.807,0.855,0.848
SS_AC15_9,Z,18,5,0.799,0.813,0.809
KL_AC10_8,C,19,4,0.791,0.844,0.836
KL_AC10_8,Z,19,5,0.806,0.82,0.816
KL_AC15_6,C,20,4,0.81,0.864,0.856
KL_AC15_6,Z,20,5,0.802,0.818,0.812
KL_AC12_8,C,21,4,0.8,0.858,0.845
KL_AC12_8,Z,21,5,0.795,0.813,0.807
SS_AC10_1,C,23,4,0.807,0.865,0.853
SS_AC10_1,Z,23,5,0.81,0.829,0.822
SS_AC10_3,C,24,4,0.808,0.858,0.851
SS_AC10_3,Z,24,5,0.802,0.819,0.812
KL_AC8_1,C,25,4,0.805,0.869,0.856
KL_AC8_1,Z,25,5,0.807,0.825,0.821
KL_AC15_4,C,26,4,0.809,0.85,0.847
KL_AC15_4,Z,26,5,0.8,0.811,0.809
BD_AC8_3,C,27,4,0.804,0.86,0.852
BD_AC8_3,Z,27,5,0.806,0.821,0.818
BD_AC12_5,C,28,4,0.81,0.87,0.861
BD_AC12_5,Z,28,5,0.81,0.827,0.823
SS_AC15_3,C,29,4,0.813,0.884,0.868
SS_AC15_3,Z,29,5,0.805,0.827,0.82
SS_AC10_10,C,30,4,1.12,1.18,1.169
SS_AC10_10,Z,30,5,1.12,1.139,1.132
BD_AC15_2,C,31,4,0.798,0.84,0.837
BD_AC15_2,Z,31,5,0.798,0.81,0.809
