Row,Column,Well,Set,Plate,RandN,A630,A663,A750
A,1,A1,1,1A,1,0.073,0.156,0.043
B,1,B1,1,1A,2,0.073,0.165,0.037
C,1,C1,1,1A,3,0.068,0.164,0.037
D,1,D1,1,1A,4,0.07,0.149,0.044
E,1,E1,1,1A,5,0.053,0.099,0.037
F,1,F1,1,1A,6,0.075,0.202,0.037
G,1,G1,1,1A,7,0.065,0.162,0.037
H,1,H1,1,1A,8,0.051,0.09,0.038
A,2,A2,1,1A,9,0.076,0.155,0.051
B,2,B2,1,1A,10,0.067,0.133,0.048
C,2,C2,1,1A,11,0.061,0.106,0.048
D,2,D2,1,1A,12,0.076,0.162,0.045
E,2,E2,1,1A,13,0.067,0.135,0.042
F,2,F2,1,1A,14,0.066,0.144,0.042
G,2,G2,1,1A,15,0.063,0.124,0.044
H,2,H2,1,1A,16,0.082,0.178,0.043
A,3,A3,1,1A,17,0.061,0.111,0.045
B,3,B3,1,1A,18,0.078,0.167,0.044
C,3,C3,1,1A,19,0.058,0.108,0.043
D,3,D3,1,1A,20,0.076,0.173,0.044
E,3,E3,1,1A,21,0.082,0.185,0.043
F,3,F3,1,1A,23,0.07,0.151,0.041
G,3,G3,1,1A,24,0.066,0.132,0.042
H,3,H3,1,1A,25,0.071,0.138,0.046
A,4,A4,1,1A,26,0.058,0.097,0.045
B,4,B4,1,1A,27,0.075,0.164,0.042
C,4,C4,1,1A,28,0.104,0.26,0.043
D,4,D4,1,1A,29,0.111,0.268,0.043
E,4,E4,1,1A,30,0.074,0.157,0.04
F,4,F4,1,1A,31,0.06,0.111,0.041
G,4,G4,1,1A,32,0.064,0.134,0.041
H,4,H4,1,1A,33,0.052,0.086,0.044
A,5,A5,1,1A,34,0.084,0.188,0.044
B,5,B5,1,1A,35,0.078,0.176,0.044
C,5,C5,1,1A,36,0.082,0.177,0.043
D,5,D5,1,1A,37,0.098,0.222,0.045
E,5,E5,1,1A,38,0.064,0.128,0.041
F,5,F5,1,1A,39,0.09,0.203,0.044
G,5,G5,1,1A,40,0.059,0.101,0.043
H,5,H5,1,1A,41,0.073,0.144,0.045
A,6,A6,1,1A,42,0.075,0.152,0.045
B,6,B6,1,1A,44,0.062,0.114,0.043
C,6,C6,1,1A,45,0.074,0.166,0.044
D,6,D6,1,1A,46,0.059,0.111,0.042
E,6,E6,1,1A,47,0.07,0.156,0.041
F,6,F6,1,1A,48,0.063,0.128,0.041
G,6,G6,1,1A,49,0.085,0.19,0.044
H,6,H6,1,1A,50,0.061,0.105,0.046
A,7,A7,1,1A,51,0.081,0.169,0.046
B,7,B7,1,1A,52,0.068,0.126,0.045
C,7,C7,1,1A,53,0.068,0.128,0.044
D,7,D7,1,1A,54,0.058,0.103,0.042
E,7,E7,1,1A,56,0.048,0.071,0.043
F,7,F7,1,1A,57,0.062,0.125,0.041
G,7,G7,1,1A,58,0.086,0.192,0.043
H,7,H7,1,1A,59,0.087,0.185,0.045
A,8,A8,1,1A,60,0.078,0.172,0.046
B,8,B8,1,1A,61,0.059,0.097,0.044
C,8,C8,1,1A,62,0.066,0.135,0.043
D,8,D8,1,1A,63,0.075,0.154,0.046
E,8,E8,1,1A,64,0.055,0.107,0.04
