ID,Species,Genotype,Site,Season,RandN
BD_AC10_1,Acer,AC10,BD,Fall,9
BD_AC10_10,Acer,AC10,BD,Winter,64
BD_AC10_11,Acer,AC10,BD,Spring,223
BD_AC10_12,Acer,AC10,BD,Spring,229
BD_AC10_13,Acer,AC10,BD,Spring,176
BD_AC10_14,Acer,AC10,BD,Spring,150
BD_AC10_15,Acer,AC10,BD,Spring,225
BD_AC10_16,Acer,AC10,BD,Summer,145
BD_AC10_17,Acer,AC10,BD,Summer,144
BD_AC10_18,Acer,AC10,BD,Summer,228
BD_AC10_19,Acer,AC10,BD,Summer,128
BD_AC10_2,Acer,AC10,BD,Fall,68
BD_AC10_20,Acer,AC10,BD,Summer,168
BD_AC10_3,Acer,AC10,BD,Fall,5
BD_AC10_4,Acer,AC10,BD,Fall,104
BD_AC10_5,Acer,AC10,BD,Fall,114
BD_AC10_6,Acer,AC10,BD,Winter,74
BD_AC10_7,Acer,AC10,BD,Winter,3
BD_AC10_8,Acer,AC10,BD,Winter,65
BD_AC10_9,Acer,AC10,BD,Winter,109
BD_AC12_1,Acer,AC12,BD,Fall,84
BD_AC12_10,Acer,AC12,BD,Winter,115
BD_AC12_11,Acer,AC12,BD,Spring,236
BD_AC12_12,Acer,AC12,BD,Spring,172
BD_AC12_13,Acer,AC12,BD,Spring,185
BD_AC12_14,Acer,AC12,BD,Spring,148
BD_AC12_15,Acer,AC12,BD,Spring,227
BD_AC12_16,Acer,AC12,BD,Summer,167
BD_AC12_17,Acer,AC12,BD,Summer,179
BD_AC12_18,Acer,AC12,BD,Summer,154
BD_AC12_19,Acer,AC12,BD,Summer,237
BD_AC12_2,Acer,AC12,BD,Fall,112
BD_AC12_20,Acer,AC12,BD,Summer,216
BD_AC12_3,Acer,AC12,BD,Fall,106
BD_AC12_4,Acer,AC12,BD,Fall,90
BD_AC12_5,Acer,AC12,BD,Fall,28
BD_AC12_6,Acer,AC12,BD,Winter,62
BD_AC12_7,Acer,AC12,BD,Winter,76
BD_AC12_8,Acer,AC12,BD,Winter,55
BD_AC12_9,Acer,AC12,BD,Winter,81
BD_AC15_1,Acer,AC15,BD,Fall,89
BD_AC15_10,Acer,AC15,BD,Winter,95
BD_AC15_11,Acer,AC15,BD,Spring,207
BD_AC15_12,Acer,AC15,BD,Spring,233
BD_AC15_13,Acer,AC15,BD,Spring,169
BD_AC15_14,Acer,AC15,BD,Spring,197
BD_AC15_15,Acer,AC15,BD,Spring,235
BD_AC15_16,Acer,AC15,BD,Summer,193
BD_AC15_17,Acer,AC15,BD,Summer,218
BD_AC15_18,Acer,AC15,BD,Summer,205
BD_AC15_19,Acer,AC15,BD,Summer,157
BD_AC15_2,Acer,AC15,BD,Fall,31
BD_AC15_20,Acer,AC15,BD,Summer,210
BD_AC15_3,Acer,AC15,BD,Fall,44
BD_AC15_4,Acer,AC15,BD,Fall,11
BD_AC15_5,Acer,AC15,BD,Fall,105
BD_AC15_6,Acer,AC15,BD,Winter,36
BD_AC15_7,Acer,AC15,BD,Winter,97
BD_AC15_8,Acer,AC15,BD,Winter,22
BD_AC15_9,Acer,AC15,BD,Winter,118
BD_AC8_1,Acer,AC8,BD,Fall,70
BD_AC8_10,Acer,AC8,BD,Winter,107
BD_AC8_11,Acer,AC8,BD,Spring,123
BD_AC8_12,Acer,AC8,BD,Spring,177
BD_AC8_13,Acer,AC8,BD,Spring,211
BD_AC8_14,Acer,AC8,BD,Spring,134
BD_AC8_15,Acer,AC8,BD,Spring,204
BD_AC8_16,Acer,AC8,BD,Summer,149
BD_AC8_17,Acer,AC8,BD,Summer,170
BD_AC8_18,Acer,AC8,BD,Summer,136
BD_AC8_19,Acer,AC8,BD,Summer,131
BD_AC8_2,Acer,AC8,BD,Fall,35
BD_AC8_20,Acer,AC8,BD,Summer,142
BD_AC8_3,Acer,AC8,BD,Fall,27
BD_AC8_4,Acer,AC8,BD,Fall,72
BD_AC8_5,Acer,AC8,BD,Fall,43
BD_AC8_6,Acer,AC8,BD,Winter,116
BD_AC8_7,Acer,AC8,BD,Winter,47
BD_AC8_8,Acer,AC8,BD,Winter,48
BD_AC8_9,Acer,AC8,BD,Winter,6
BD_AP1_1,Apal,AP1,BD,Fall,P48
BD_AP1_10,Apal,AP1,BD,Summer,P58
BD_AP1_12,Apal,AP1,BD,Summer,P84
BD_AP1_2,Apal,AP1,BD,Fall,P34
BD_AP1_3,Apal,AP1,BD,Fall,P43
BD_AP1_4,Apal,AP1,BD,Winter,P19
BD_AP1_5,Apal,AP1,BD,Winter,P17
BD_AP1_6,Apal,AP1,BD,Winter,P31
BD_AP1_7,Apal,AP1,BD,Spring,P104
BD_AP1_8,Apal,AP1,BD,Spring,P83
BD_AP1_9,Apal,AP1,BD,Spring,P97
BD_AP10_1,Apal,AP10,BD,Fall,P4
BD_AP10_10,Apal,AP10,BD,Summer,P99
BD_AP10_11,Apal,AP10,BD,Summer,P87
BD_AP10_12,Apal,AP10,BD,Summer,P60
BD_AP10_2,Apal,AP10,BD,Fall,P23
BD_AP10_3,Apal,AP10,BD,Fall,P25
BD_AP10_4,Apal,AP10,BD,Winter,P39
BD_AP10_5,Apal,AP10,BD,Winter,P41
BD_AP10_6,Apal,AP10,BD,Winter,P10
BD_AP10_7,Apal,AP10,BD,Spring,P70
BD_AP10_8,Apal,AP10,BD,Spring,P62
BD_AP10_9,Apal,AP10,BD,Spring,P103
BD_AP8_1,Apal,AP8,BD,Fall,P30
BD_AP8_10,Apal,AP8,BD,Summer,P98
BD_AP8_11,Apal,AP8,BD,Summer,P96
BD_AP8_12,Apal,AP8,BD,Summer,P107
BD_AP8_2,Apal,AP8,BD,Fall,P13
BD_AP8_3,Apal,AP8,BD,Fall,P9
BD_AP8_4,Apal,AP8,BD,Winter,P12
BD_AP8_5,Apal,AP8,BD,Winter,P8
BD_AP8_6,Apal,AP8,BD,Winter,P45
BD_AP8_7,Apal,AP8,BD,Spring,P69
BD_AP8_8,Apal,AP8,BD,Spring,P71
BD_AP8_9,Apal,AP8,BD,Spring,P56
KL_AC10_1,Acer,AC10,KL,Fall,108
KL_AC10_10,Acer,AC10,KL,Winter,56
KL_AC10_11,Acer,AC10,KL,Spring,122
KL_AC10_12,Acer,AC10,KL,Spring,130
KL_AC10_13,Acer,AC10,KL,Spring,214
KL_AC10_14,Acer,AC10,KL,Spring,194
KL_AC10_15,Acer,AC10,KL,Spring,127
KL_AC10_16,Acer,AC10,KL,Summer,203
KL_AC10_17,Acer,AC10,KL,Summer,240
KL_AC10_18,Acer,AC10,KL,Summer,164
KL_AC10_19,Acer,AC10,KL,Summer,126
KL_AC10_2,Acer,AC10,KL,Fall,111
KL_AC10_20,Acer,AC10,KL,Summer,139
KL_AC10_3,Acer,AC10,KL,Fall,86
KL_AC10_4,Acer,AC10,KL,Fall,119
KL_AC10_5,Acer,AC10,KL,Fall,33
KL_AC10_6,Acer,AC10,KL,Winter,54
KL_AC10_7,Acer,AC10,KL,Winter,38
KL_AC10_8,Acer,AC10,KL,Winter,19
KL_AC10_9,Acer,AC10,KL,Winter,103
KL_AC12_1,Acer,AC12,KL,Fall,41
KL_AC12_10,Acer,AC12,KL,Winter,96
KL_AC12_11,Acer,AC12,KL,Spring,219
KL_AC12_12,Acer,AC12,KL,Spring,200
KL_AC12_13,Acer,AC12,KL,Spring,124
KL_AC12_14,Acer,AC12,KL,Spring,161
KL_AC12_15,Acer,AC12,KL,Spring,175
KL_AC12_16,Acer,AC12,KL,Summer,180
KL_AC12_17,Acer,AC12,KL,Summer,202
KL_AC12_18,Acer,AC12,KL,Summer,187
KL_AC12_19,Acer,AC12,KL,Summer,221
KL_AC12_2,Acer,AC12,KL,Fall,14
KL_AC12_20,Acer,AC12,KL,Summer,206
KL_AC12_3,Acer,AC12,KL,Fall,13
KL_AC12_4,Acer,AC12,KL,Fall,100
KL_AC12_5,Acer,AC12,KL,Fall,32
KL_AC12_6,Acer,AC12,KL,Winter,58
KL_AC12_7,Acer,AC12,KL,Winter,113
KL_AC12_8,Acer,AC12,KL,Winter,21
KL_AC12_9,Acer,AC12,KL,Winter,1
KL_AC15_1,Acer,AC15,KL,Fall,40
KL_AC15_10,Acer,AC15,KL,Winter,69
KL_AC15_11,Acer,AC15,KL,Spring,232
KL_AC15_12,Acer,AC15,KL,Spring,166
KL_AC15_13,Acer,AC15,KL,Spring,147
KL_AC15_14,Acer,AC15,KL,Spring,143
KL_AC15_15,Acer,AC15,KL,Spring,140
KL_AC15_16,Acer,AC15,KL,Summer,155
KL_AC15_17,Acer,AC15,KL,Summer,152
KL_AC15_18,Acer,AC15,KL,Summer,165
KL_AC15_19,Acer,AC15,KL,Summer,135
KL_AC15_2,Acer,AC15,KL,Fall,61
KL_AC15_20,Acer,AC15,KL,Summer,220
KL_AC15_3,Acer,AC15,KL,Fall,8
KL_AC15_4,Acer,AC15,KL,Fall,26
KL_AC15_5,Acer,AC15,KL,Fall,94
KL_AC15_6,Acer,AC15,KL,Winter,20
KL_AC15_7,Acer,AC15,KL,Winter,78
