RandN,ID,Vol_ml,Wax.I_g,Wax.F_g
1,KL_AC12_9,24.5,9.333,10.078
2,SS_AC12_7,22,4.461,5.056
3,BD_AC10_7,15,5.292,5.82
4,SS_AC12_3,18,3.531,4.154
5,BD_AC10_3,16,1.797,2.008
6,BD_AC8_9,18,3.144,3.685
7,SS_AC10_9,17.5,4.335,4.862
8,KL_AC15_3,10,0.836,1.081
9,BD_AC10_1,10,2.531,2.856
10,KL_AC8_8,12,3.773,4.251
11,BD_AC15_4,11,1.064,1.226
12,SS_AC15_8,17,3.704,4.258
13,KL_AC12_3,14,3.753,4.224
14,KL_AC12_2,16,5.775,6.251
15,SS_AC15_7,23,6.268,6.821
16,SS_AC15_1,17,6.828,7.613
17,KL_AC8_3,16,7.893,8.528
18,SS_AC15_9,18,3.978,4.414
19,KL_AC10_8,13,4.225,4.655
20,KL_AC15_6,14,6.903,7.551
21,KL_AC12_8,20,7.807,8.444
22,BD_AC15_8,NA,NA,NA
23,SS_AC10_1,18,8.095,8.861
24,SS_AC10_3,19,7.716,8.373
25,KL_AC8_1,19.5,4.153,5.063
26,KL_AC15_4,13,0.998,1.305
27,BD_AC8_3,19.5,3.907,4.444
28,BD_AC12_5,18,6.161,6.935
29,SS_AC15_3,19,7.859,8.886
30,SS_AC10_10,17,9.048,9.867
31,BD_AC15_2,16,1.932,2.118
32,KL_AC12_5,25.5,7.048,7.842
33,KL_AC10_5,16,3.136,3.502
34,SS_AC8_7,27,7.175,8.227
35,BD_AC8_2,13,1.027,1.348
36,BD_AC15_6,17.5,2.417,2.734
37,SS_AC10_7,22,10.27,11.25
38,KL_AC10_7,18,2.098,2.487
39,SS_AC12_2,27,12.219,13.425
40,KL_AC15_1,13,1.395,1.763
41,KL_AC12_1,18,5.443,5.942
42,SS_AC8_2,23.5,6.94,7.691
43,BD_AC8_5,NA,NA,NA
44,BD_AC15_3,13,1.06,1.232
45,SS_AC12_5,14,4.042,4.341
46,KL_AC8_7,12,1.492,1.802
47,BD_AC8_7,19,1.872,2.256
48,BD_AC8_8,15.5,1.314,1.664
49,SS_AC8_10,19,6.368,7.09
50,KL_AC8_10,23,3.041,3.466
51,SS_AC15_4,20,6.093,6.803
52,SS_AC8_8,32,6.079,6.759
53,SS_AC8_1,18,4.559,5.065
54,KL_AC10_6,12.5,3.362,3.636
55,BD_AC12_8,NA,NA,NA
56,KL_AC10_10,24,12.469,13.029
57,KL_AC15_9,32,7.676,8.606
58,KL_AC12_6,21,8.961,9.838
59,SS_AC8_9,14,4.204,4.848
60,SS_AC12_10,17.5,9.017,9.933
61,KL_AC15_2,14.5,1.476,1.914
62,BD_AC12_6,20.5,1.921,2.474
63,SS_AC15_6,17.5,3.582,4.133
64,BD_AC10_10,34,3.142,3.635
65,BD_AC10_8,15,3.318,3.682
66,SS_AC12_8,24,7.365,8.014
67,SS_AC8_5,16.5,8.595,9.356
68,BD_AC10_2,17,4.435,4.806
69,KL_AC15_10,18,6.049,6.828
70,BD_AC8_1,14,3.698,4.185
71,KL_AC8_9,14,7.06,7.701
72,BD_AC8_4,21,5.085,5.727
73,SS_AC10_2,15,8.1,8.773
74,BD_AC10_6,16,3.573,3.98
75,KL_AC8_2,13,4.429,4.8
76,BD_AC12_7,NA,NA,NA
77,SS_AC8_3,17,7.11,7.905
78,KL_AC15_7,15,6.523,7.235
79,SS_AC8_6,15,4.35,4.751
80,SS_AC8_4,22,7.364,8.1
81,BD_AC12_9,NA,NA,NA
82,SS_AC10_5,15,8.018,8.597
83,SS_AC15_10,22,2.307,2.768
84,BD_AC12_1,18,5.159,5.759
85,SS_AC12_6,17,6.156,6.692
86,KL_AC10_3,14,2.565,2.828
87,SS_AC12_9,19,5.396,5.929
88,KL_AC8_5,16,5.005,5.468
89,BD_AC15_1,11,0.777,0.927
90,BD_AC12_4,16,5.812,6.512
91,KL_AC8_4,18.5,3.107,3.455
92,SS_AC10_8,25,9.174,9.942
93,SS_AC15_2,32.5,8.637,9.738
94,KL_AC15_5,14,4.869,5.355
95,BD_AC15_10,NA,NA,NA
96,KL_AC12_10,20,2.007,2.393
97,BD_AC15_7,NA,NA,NA
98,SS_AC15_5,16,2.123,2.393
99,KL_AC15_8,22.5,6.846,7.589
100,KL_AC12_4,12.5,4.548,4.947
101,SS_AC10_6,14,2.815,3.232
102,SS_AC12_1,27,11.327,12.478
103,KL_AC10_9,16,4.054,4.588
104,BD_AC10_4,16,2.478,2.759
105,BD_AC15_5,27,6.939,7.585
106,BD_AC12_3,14.5,3.146,3.786
107,BD_AC8_10,10,3.452,3.904
108,KL_AC10_1,10.5,2.992,3.257
109,BD_AC10_9,18,2.686,3.08
110,SS_AC12_4,17,7.468,8.414
111,KL_AC10_2,16,3.304,3.574
112,BD_AC12_2,17.5,2.14,2.482
113,KL_AC12_7,27,9.572,10.749
114,BD_AC10_5,25.5,3.17,3.791
115,BD_AC12_10,NA,NA,NA
116,BD_AC8_6,20,3.541,3.963
117,SS_AC10_4,20,7.629,8.462
118,BD_AC15_9,NA,NA,NA
119,KL_AC10_4,23,1.818,2.011
120,KL_AC8_6,20,4.704,5.228
121,SS_AC8_19,11,7.087,7.703
122,KL_AC10_11,10,5.238,5.657
123,BD_AC8_11,20,8.62,9.389
124,KL_AC12_13,18.5,7.337,8.215
125,SS_AC10_15,20,4.512,4.932
126,KL_AC10_19,20,9.764,10.43
127,KL_AC10_15,13,4.849,5.225
128,BD_AC10_19,15,2.964,3.466
129,SS_AC8_16,20,6.822,7.394
130,KL_AC10_12,13.5,5.634,6.012
131,BD_AC8_19,24,8.782,9.469
132,SS_AC15_17,33,13.45,14.306
133,SS_AC15_14,31,8.504,9.154
134,BD_AC8_14,19,6.793,7.569
135,KL_AC15_19,18.5,7.568,8.157
136,BD_AC8_18,20.5,9.617,10.299
137,KL_AC8_14,16.5,6.966,7.491
138,SS_AC12_15,22,5.849,6.353
139,KL_AC10_20,19.5,10.106,10.814
140,KL_AC15_15,28.5,8.33,8.971
141,SS_AC10_18,29.5,7.771,8.455
142,BD_AC8_20,30,4.852,5.473
143,KL_AC15_14,24,4.59,5.026
144,BD_AC10_17,29.5,3.536,4.115
145,BD_AC10_16,21.5,8.662,9.389
146,KL_AC8_20,19.5,7.26,7.882
147,KL_AC15_13,21,12.52,13.098
148,BD_AC12_14,27,4.095,4.847
149,BD_AC8_16,32,8.307,9.009
150,BD_AC10_14,28.5,10.462,11.243
151,SS_AC15_20,18,4.117,4.756
152,KL_AC15_17,22.5,5.739,6.432
153,SS_AC10_19,28.5,14.395,15.379
154,BD_AC12_18,28,10.32,11.14
155,KL_AC15_16,23,8.845,9.706
156,KL_AC8_16,22.5,10.189,11.002
157,BD_AC15_19,26,7.482,8.233
158,KL_AC8_15,15.5,6.524,7.113
159,SS_AC8_14,25,6.977,7.723
160,SS_AC15_19,34,7.111,7.98
161,KL_AC12_14,25,7.412,8.288
162,KL_AC8_17,20,8.906,9.508
163,SS_AC12_20,40,13.681,14.805
164,KL_AC10_18,18,10.718,11.342
165,KL_AC15_18,18.5,9.901,10.55
166,KL_AC15_12,15,6.604,7.305
167,BD_AC12_16,30.5,13.379,14.276
168,BD_AC10_20,21.5,14.675,15.718
169,BD_AC15_13,32.5,11.772,12.65
170,BD_AC8_17,30.5,15.013,16.104
171,SS_AC8_13,23,8.791,9.457
172,BD_AC12_12,30,9.17,10.01
173,SS_AC12_13,32.5,4.422,5.056
174,SS_AC12_11,38.5,8.68,9.552
175,KL_AC12_15,24,6.013,6.722
176,BD_AC10_13,20,6.134,6.781
177,BD_AC8_12,25,8.579,9.534
178,SS_AC8_20,28.5,8.574,9.488
179,BD_AC12_17,32,10.811,11.786
180,KL_AC12_16,17,5.986,6.637
181,SS_AC12_16,39,7.021,7.785
182,SS_AC12_19,34,11.898,12.95
183,SS_AC10_20,24,10.084,10.842
184,SS_AC10_11,24,5.504,6.124
185,BD_AC12_13,25.5,11.87,12.74
186,SS_AC10_16,24,7.593,8.277
187,KL_AC12_18,25,5.306,5.989
188,SS_AC8_12,23.5,6.342,6.959
189,SS_AC12_18,35,16.118,17.286
190,SS_AC10_17,23,7.837,8.494
191,KL_AC8_13,15.5,6.439,6.959
192,SS_AC12_14,22.5,7.043,7.739
