Plate,WellID,FileName,Primer
1A,1A.3,3_005_2022-04-08_1.fsa,C1
1A,1A.4,4_007_2022-04-08_1.fsa,C1
1A,1A.5,5_009_2022-04-08_1.fsa,C1
1A,1A.6,6_011_2022-04-08_1.fsa,C1
1A,1A.7,7_013_2022-04-08_1.fsa,C1
1A,1A.8,8_015_2022-04-08_1.fsa,C1
1A,1A.9,9_002_2022-04-08_1.fsa,C1
1A,1A.10,10_004_2022-04-08_1.fsa,C1
1A,1A.11,11_006_2022-04-08_1.fsa,C1
1A,1A.12,12_008_2022-04-08_1.fsa,C1
1A,1A.13,13_010_2022-04-08_1.fsa,C1
1A,1A.14,14_012_2022-04-08_1.fsa,C1
1A,1A.15,15_014_2022-04-08_1.fsa,C1
1A,1A.16,16_016_2022-04-08_1.fsa,C1
1A,1A.17,17_001_2022-04-08_1.fsa,C1
1A,1A.18,18_003_2022-04-08_1.fsa,C1
1A,1A.19,19_005_2022-04-08_1.fsa,C1
1A,1A.20,20_007_2022-04-08_1.fsa,C1
1A,1A.21,21_009_2022-04-08_1.fsa,C1
1A,1A.22,22_011_2022-04-08_1.fsa,C1
1A,1A.23,23_013_2022-04-08_1.fsa,C1
1A,1A.24,24_015_2022-04-08_1.fsa,C1
1A,1A.25,25_002_2022-04-08_1.fsa,C1
1A,1A.26,26_004_2022-04-08_1.fsa,C1
1A,1A.27,27_006_2022-04-08_1.fsa,C1
1A,1A.28,28_008_2022-04-08_1.fsa,C1
1A,1A.29,29_010_2022-04-08_1.fsa,C1
1A,1A.30,30_012_2022-04-08_1.fsa,C1
1A,1A.31,31_014_2022-04-08_1.fsa,C1
1A,1A.32,32_016_2022-04-08_1.fsa,C1
1A,1A.33,33_001_2022-04-08_1.fsa,C1
1A,1A.34,34_003_2022-04-08_1.fsa,C1
1A,1A.35,35_005_2022-04-08_1.fsa,C1
1A,1A.36,36_007_2022-04-08_1.fsa,C1
1A,1A.37,37_009_2022-04-08_1.fsa,C1
1A,1A.38,38_011_2022-04-08_1.fsa,C1
1A,1A.39,39_013_2022-04-08_1.fsa,C1
1A,1A.40,40_015_2022-04-08_1.fsa,C1
1A,1A.41,41_002_2022-04-08_1.fsa,C1
1A,1A.42,42_004_2022-04-08_1.fsa,C1
1A,1A.43,43_006_2022-04-08_1.fsa,C1
1A,1A.44,44_008_2022-04-08_1.fsa,C1
1A,1A.45,45_010_2022-04-08_1.fsa,C1
1A,1A.46,46_012_2022-04-08_1.fsa,C1
1A,1A.47,47_014_2022-04-08_1.fsa,C1
1A,1A.48,48_016_2022-04-08_1.fsa,C1
1A,1A.49,49_001_2022-04-08_1.fsa,C1
1A,1A.50,50_003_2022-04-08_1.fsa,C1
1A,1A.51,51_005_2022-04-08_1.fsa,C1
1A,1A.52,52_007_2022-04-08_1.fsa,C1
1A,1A.53,53_009_2022-04-08_1.fsa,C1
1A,1A.54,54_011_2022-04-08_1.fsa,C1
1A,1A.55,55_013_2022-04-08_1.fsa,C1
1A,1A.56,56_015_2022-04-08_1.fsa,C1
1A,1A.57,57_002_2022-04-08_1.fsa,C1
1A,1A.58,58_004_2022-04-08_1.fsa,C1
1A,1A.59,59_006_2022-04-08_1.fsa,C1
1A,1A.60,60_008_2022-04-08_1.fsa,C1
1A,1A.61,61_010_2022-04-08_1.fsa,C1
1A,1A.62,62_012_2022-04-08_1.fsa,C1
1A,1A.63,63_014_2022-04-08_1.fsa,C1
1A,1A.64,64_016_2022-04-08_1.fsa,C1
1A,1A.65,65_001_2022-04-08_1.fsa,C1
1A,1A.66,66_003_2022-04-08_1.fsa,C1
1A,1A.67,67_005_2022-04-08_1.fsa,C1
1A,1A.68,68_007_2022-04-08_1.fsa,C1
1A,1A.69,69_009_2022-04-08_1.fsa,C1
1A,1A.70,70_011_2022-04-08_1.fsa,C1
1A,1A.71,71_013_2022-04-08_1.fsa,C1
1A,1A.72,72_015_2022-04-08_1.fsa,C1
1A,1A.73,73_002_2022-04-08_1.fsa,C1
1A,1A.74,74_004_2022-04-08_1.fsa,C1
1A,1A.75,75_006_2022-04-08_1.fsa,C1
1A,1A.76,76_008_2022-04-08_1.fsa,C1
1A,1A.77,77_010_2022-04-08_1.fsa,C1
1A,1A.78,78_012_2022-04-08_1.fsa,C1
1A,1A.79,79_014_2022-04-08_1.fsa,C1
1A,1A.80,80_016_2022-04-08_1.fsa,C1
1A,1A.81,81_001_2022-04-08_1.fsa,C1
1A,1A.82,82_003_2022-04-08_1.fsa,C1
1A,1A.83,83_005_2022-04-08_1.fsa,C1
1A,1A.84,84_007_2022-04-08_1.fsa,C1
1A,1A.85,85_009_2022-04-08_1.fsa,C1
1A,1A.86,86_011_2022-04-08_1.fsa,C1
1A,1A.87,87_013_2022-04-08_1.fsa,C1
1A,1A.88,88_015_2022-04-08_1.fsa,C1
1A,1A.89,89_002_2022-04-08_1.fsa,C1
1A,1A.90,90_004_2022-04-08_1.fsa,C1
1A,1A.91,91_006_2022-04-08_1.fsa,C1
1A,1A.92,92_008_2022-04-08_1.fsa,C1
1A,1A.93,93_010_2022-04-08_1.fsa,C1
1A,1A.94,94_012_2022-04-08_1.fsa,C1
1A,1A.95,95_014_2022-04-08_1.fsa,C1
1A,1A.96,96_016_2022-04-08_1.fsa,C1
1A,1A.1,1_001_2022-04-08_1.fsa,C1
1A,1A.2,2_003_2022-04-08_1.fsa,C1
2A,2A.1,1_001_2022-09-07.fsa,C1
2A,2A.2,2_003_2022-09-07.fsa,C1
2A,2A.3,3_005_2022-09-07.fsa,C1
2A,2A.4,4_007_2022-09-07.fsa,C1
2A,2A.5,5_009_2022-09-07.fsa,C1
2A,2A.6,6_011_2022-09-07.fsa,C1
2A,2A.7,7_013_2022-09-07.fsa,C1
2A,2A.8,8_015_2022-09-07.fsa,C1
2A,2A.9,9_002_2022-09-07.fsa,C1
2A,2A.10,10_004_2022-09-07.fsa,C1
2A,2A.11,11_006_2022-09-07.fsa,C1
2A,2A.12,12_008_2022-09-07.fsa,C1
2A,2A.13,13_010_2022-09-07.fsa,C1
2A,2A.14,14_012_2022-09-07.fsa,C1
2A,2A.15,15_014_2022-09-07.fsa,C1
2A,2A.16,16_016_2022-09-07.fsa,C1
2A,2A.17,17_001_2022-09-07.fsa,C1
2A,2A.18,18_003_2022-09-07.fsa,C1
2A,2A.19,19_005_2022-09-07.fsa,C1
2A,2A.20,20_007_2022-09-07.fsa,C1
2A,2A.21,21_009_2022-09-07.fsa,C1
2A,2A.22,22_011_2022-09-07.fsa,C1
2A,2A.23,23_013_2022-09-07.fsa,C1
