Row,Column,Well,WellN,Set,Combo,Plate,WellID,Input,RandN,Enzyme
A,1,A1,1,1,ComboA,1A,1A.1,1_H,1,HPA
B,1,B1,2,1,ComboA,1A,1A.2,2_H,2,HPA
C,1,C1,3,1,ComboA,1A,1A.3,3_H,3,HPA
D,1,D1,4,1,ComboA,1A,1A.4,4_H,4,HPA
E,1,E1,5,1,ComboA,1A,1A.5,1_M,1,MSP
F,1,F1,6,1,ComboA,1A,1A.6,2_M,2,MSP
G,1,G1,7,1,ComboA,1A,1A.7,3_M,3,MSP
H,1,H1,8,1,ComboA,1A,1A.8,4_M,4,MSP
A,2,A2,9,1,ComboA,1A,1A.9,5_H,5,HPA
B,2,B2,10,1,ComboA,1A,1A.10,6_H,6,HPA
C,2,C2,11,1,ComboA,1A,1A.11,7_H,7,HPA
D,2,D2,12,1,ComboA,1A,1A.12,8_H,8,HPA
E,2,E2,13,1,ComboA,1A,1A.13,5_M,5,MSP
F,2,F2,14,1,ComboA,1A,1A.14,6_M,6,MSP
G,2,G2,15,1,ComboA,1A,1A.15,7_M,7,MSP
H,2,H2,16,1,ComboA,1A,1A.16,8_M,8,MSP
A,3,A3,17,1,ComboA,1A,1A.17,9_H,9,HPA
B,3,B3,18,1,ComboA,1A,1A.18,10_H,10,HPA
C,3,C3,19,1,ComboA,1A,1A.19,11_H,11,HPA
D,3,D3,20,1,ComboA,1A,1A.20,12_H,12,HPA
E,3,E3,21,1,ComboA,1A,1A.21,9_M,9,MSP
F,3,F3,22,1,ComboA,1A,1A.22,10_M,10,MSP
G,3,G3,23,1,ComboA,1A,1A.23,11_M,11,MSP
H,3,H3,24,1,ComboA,1A,1A.24,12_M,12,MSP
A,4,A4,25,1,ComboA,1A,1A.25,13_H,13,HPA
B,4,B4,26,1,ComboA,1A,1A.26,14_H,14,HPA
C,4,C4,27,1,ComboA,1A,1A.27,15_H,15,HPA
D,4,D4,28,1,ComboA,1A,1A.28,16_H,16,HPA
E,4,E4,29,1,ComboA,1A,1A.29,13_M,13,MSP
F,4,F4,30,1,ComboA,1A,1A.30,14_M,14,MSP
G,4,G4,31,1,ComboA,1A,1A.31,15_M,15,MSP
H,4,H4,32,1,ComboA,1A,1A.32,16_M,16,MSP
A,5,A5,33,1,ComboA,1A,1A.33,17_H,17,HPA
B,5,B5,34,1,ComboA,1A,1A.34,18_H,18,HPA
C,5,C5,35,1,ComboA,1A,1A.35,19_H,19,HPA
D,5,D5,36,1,ComboA,1A,1A.36,20_H,20,HPA
E,5,E5,37,1,ComboA,1A,1A.37,17_M,17,MSP
F,5,F5,38,1,ComboA,1A,1A.38,18_M,18,MSP
G,5,G5,39,1,ComboA,1A,1A.39,19_M,19,MSP
H,5,H5,40,1,ComboA,1A,1A.40,20_M,20,MSP
A,6,A6,41,1,ComboA,1A,1A.41,21_H,21,HPA
B,6,B6,42,1,ComboA,1A,1A.42,22_H,22,HPA
C,6,C6,43,1,ComboA,1A,1A.43,23_H,23,HPA
D,6,D6,44,1,ComboA,1A,1A.44,24_H,24,HPA
E,6,E6,45,1,ComboA,1A,1A.45,21_M,21,MSP
F,6,F6,46,1,ComboA,1A,1A.46,22_M,22,MSP
G,6,G6,47,1,ComboA,1A,1A.47,23_M,23,MSP
H,6,H6,48,1,ComboA,1A,1A.48,24_M,24,MSP
A,7,A7,49,1,ComboA,1A,1A.49,25_H,25,HPA
B,7,B7,50,1,ComboA,1A,1A.50,26_H,26,HPA
C,7,C7,51,1,ComboA,1A,1A.51,27_H,27,HPA
D,7,D7,52,1,ComboA,1A,1A.52,28_H,28,HPA
E,7,E7,53,1,ComboA,1A,1A.53,25_M,25,MSP
F,7,F7,54,1,ComboA,1A,1A.54,26_M,26,MSP
G,7,G7,55,1,ComboA,1A,1A.55,27_M,27,MSP
H,7,H7,56,1,ComboA,1A,1A.56,28_M,28,MSP
A,8,A8,57,1,ComboA,1A,1A.57,29_H,29,HPA
B,8,B8,58,1,ComboA,1A,1A.58,30_H,30,HPA
C,8,C8,59,1,ComboA,1A,1A.59,31_H,31,HPA
D,8,D8,60,1,ComboA,1A,1A.60,32_H,32,HPA
E,8,E8,61,1,ComboA,1A,1A.61,29_M,29,MSP
F,8,F8,62,1,ComboA,1A,1A.62,30_M,30,MSP
G,8,G8,63,1,ComboA,1A,1A.63,31_M,31,MSP
H,8,H8,64,1,ComboA,1A,1A.64,32_M,32,MSP
A,9,A9,65,1,ComboA,1A,1A.65,33_H,33,HPA
B,9,B9,66,1,ComboA,1A,1A.66,34_H,34,HPA
C,9,C9,67,1,ComboA,1A,1A.67,35_H,35,HPA
D,9,D9,68,1,ComboA,1A,1A.68,36_H,36,HPA
E,9,E9,69,1,ComboA,1A,1A.69,33_M,33,MSP
F,9,F9,70,1,ComboA,1A,1A.70,34_M,34,MSP
G,9,G9,71,1,ComboA,1A,1A.71,35_M,35,MSP
H,9,H9,72,1,ComboA,1A,1A.72,36_M,36,MSP
A,10,A10,73,1,ComboA,1A,1A.73,37_H,37,HPA
B,10,B10,74,1,ComboA,1A,1A.74,38_H,38,HPA
C,10,C10,75,1,ComboA,1A,1A.75,39_H,39,HPA
D,10,D10,76,1,ComboA,1A,1A.76,40_H,40,HPA
E,10,E10,77,1,ComboA,1A,1A.77,37_M,37,MSP
F,10,F10,78,1,ComboA,1A,1A.78,38_M,38,MSP
G,10,G10,79,1,ComboA,1A,1A.79,39_M,39,MSP
H,10,H10,80,1,ComboA,1A,1A.80,40_M,40,MSP
A,11,A11,81,1,ComboA,1A,1A.81,41_H,41,HPA
B,11,B11,82,1,ComboA,1A,1A.82,42_H,42,HPA
C,11,C11,83,1,ComboA,1A,1A.83,43_H,43,HPA
D,11,D11,84,1,ComboA,1A,1A.84,44_H,44,HPA
E,11,E11,85,1,ComboA,1A,1A.85,41_M,41,MSP
F,11,F11,86,1,ComboA,1A,1A.86,42_M,42,MSP
G,11,G11,87,1,ComboA,1A,1A.87,43_M,43,MSP
H,11,H11,88,1,ComboA,1A,1A.88,44_M,44,MSP
A,12,A12,89,1,ComboA,1A,1A.89,45_H,45,HPA
B,12,B12,90,1,ComboA,1A,1A.90,46_H,46,HPA
C,12,C12,91,1,ComboA,1A,1A.91,47_H,47,HPA
D,12,D12,92,1,ComboA,1A,1A.92,48_H,48,HPA
E,12,E12,93,1,ComboA,1A,1A.93,45_M,45,MSP
F,12,F12,94,1,ComboA,1A,1A.94,46_M,46,MSP
G,12,G12,95,1,ComboA,1A,1A.95,47_M,47,MSP
H,12,H12,96,1,ComboA,1A,1A.96,48_M,48,MSP
A,1,A1,1,1,ComboB,1B,1B.1,1_H,1,HPA
B,1,B1,2,1,ComboB,1B,1B.2,2_H,2,HPA
C,1,C1,3,1,ComboB,1B,1B.3,3_H,3,HPA
D,1,D1,4,1,ComboB,1B,1B.4,4_H,4,HPA
E,1,E1,5,1,ComboB,1B,1B.5,1_M,1,MSP
F,1,F1,6,1,ComboB,1B,1B.6,2_M,2,MSP
G,1,G1,7,1,ComboB,1B,1B.7,3_M,3,MSP
H,1,H1,8,1,ComboB,1B,1B.8,4_M,4,MSP
A,2,A2,9,1,ComboB,1B,1B.9,5_H,5,HPA
B,2,B2,10,1,ComboB,1B,1B.10,6_H,6,HPA
C,2,C2,11,1,ComboB,1B,1B.11,7_H,7,HPA
D,2,D2,12,1,ComboB,1B,1B.12,8_H,8,HPA
E,2,E2,13,1,ComboB,1B,1B.13,5_M,5,MSP
F,2,F2,14,1,ComboB,1B,1B.14,6_M,6,MSP
G,2,G2,15,1,ComboB,1B,1B.15,7_M,7,MSP
H,2,H2,16,1,ComboB,1B,1B.16,8_M,8,MSP
A,3,A3,17,1,ComboB,1B,1B.17,9_H,9,HPA
B,3,B3,18,1,ComboB,1B,1B.18,10_H,10,HPA
C,3,C3,19,1,ComboB,1B,1B.19,11_H,11,HPA
D,3,D3,20,1,ComboB,1B,1B.20,12_H,12,HPA
E,3,E3,21,1,ComboB,1B,1B.21,9_M,9,MSP
F,3,F3,22,1,ComboB,1B,1B.22,10_M,10,MSP
G,3,G3,23,1,ComboB,1B,1B.23,11_M,11,MSP
H,3,H3,24,1,ComboB,1B,1B.24,12_M,12,MSP
A,4,A4,25,1,ComboB,1B,1B.25,13_H,13,HPA
B,4,B4,26,1,ComboB,1B,1B.26,14_H,14,HPA
C,4,C4,27,1,ComboB,1B,1B.27,15_H,15,HPA
D,4,D4,28,1,ComboB,1B,1B.28,16_H,16,HPA
E,4,E4,29,1,ComboB,1B,1B.29,13_M,13,MSP
F,4,F4,30,1,ComboB,1B,1B.30,14_M,14,MSP
G,4,G4,31,1,ComboB,1B,1B.31,15_M,15,MSP
H,4,H4,32,1,ComboB,1B,1B.32,16_M,16,MSP
A,5,A5,33,1,ComboB,1B,1B.33,17_H,17,HPA
B,5,B5,34,1,ComboB,1B,1B.34,18_H,18,HPA
C,5,C5,35,1,ComboB,1B,1B.35,19_H,19,HPA
D,5,D5,36,1,ComboB,1B,1B.36,20_H,20,HPA
E,5,E5,37,1,ComboB,1B,1B.37,17_M,17,MSP
F,5,F5,38,1,ComboB,1B,1B.38,18_M,18,MSP
G,5,G5,39,1,ComboB,1B,1B.39,19_M,19,MSP
H,5,H5,40,1,ComboB,1B,1B.40,20_M,20,MSP
A,6,A6,41,1,ComboB,1B,1B.41,21_H,21,HPA
B,6,B6,42,1,ComboB,1B,1B.42,22_H,22,HPA
C,6,C6,43,1,ComboB,1B,1B.43,23_H,23,HPA
