Row,Column,Well,Set,Plate,Wavelength,A562,Input,RandN,Fraction
A,1,A1,1,1A,562,2.481,Standard,St_A,C
B,1,B1,1,1A,562,1.969,Standard,St_B,C
C,1,C1,1,1A,562,1.46,Standard,St_C,C
D,1,D1,1,1A,562,1.155,Standard,St_D,C
E,1,E1,1,1A,562,0.847,Standard,St_E,C
F,1,F1,1,1A,562,0.496,Standard,St_F,C
G,1,G1,1,1A,562,0.307,Standard,St_G,C
H,1,H1,1,1A,562,0.14,Standard,St_H,C
A,2,A2,1,1A,562,0.098,Standard,St_I,C
B,2,B2,1,1A,562,1.032,Un,1,C
C,2,C2,1,1A,562,0.919,Un,2,C
D,2,D2,1,1A,562,1.037,Un,3,C
E,2,E2,1,1A,562,0.884,Un,4,C
F,2,F2,1,1A,562,0.52,Un,5,C
G,2,G2,1,1A,562,0.897,Un,6,C
H,2,H2,1,1A,562,1.056,Un,7,C
A,3,A3,1,1A,562,0.654,Un,8,C
B,3,B3,1,1A,562,1.014,Un,9,C
C,3,C3,1,1A,562,0.905,Un,10,C
D,3,D3,1,1A,562,0.562,Un,11,C
E,3,E3,1,1A,562,0.94,Un,12,C
F,3,F3,1,1A,562,0.95,Un,13,C
G,3,G3,1,1A,562,1.012,Un,14,C
H,3,H3,1,1A,562,0.825,Un,15,C
A,4,A4,1,1A,562,1.252,Un,16,C
B,4,B4,1,1A,562,0.978,Un,17,C
C,4,C4,1,1A,562,0.712,Un,18,C
D,4,D4,1,1A,562,0.909,Un,19,C
E,4,E4,1,1A,562,0.916,Un,20,C
F,4,F4,1,1A,562,1.142,Un,21,C
G,4,G4,1,1A,562,1.151,Un,23,C
H,4,H4,1,1A,562,0.878,Un,24,C
A,5,A5,1,1A,562,1.163,Un,25,C
B,5,B5,1,1A,562,0.534,Un,26,C
C,5,C5,1,1A,562,0.952,Un,27,C
D,5,D5,1,1A,562,1.113,Un,28,C
E,5,E5,1,1A,562,1.44,Un,29,C
F,5,F5,1,1A,562,1.026,Un,30,C
G,5,G5,1,1A,562,0.521,Un,31,C
H,5,H5,1,1A,562,0.808,Un,32,C
A,6,A6,1,1A,562,0.589,Un,33,C
B,6,B6,1,1A,562,0.81,Un,34,C
C,6,C6,1,1A,562,0.874,Un,35,C
D,6,D6,1,1A,562,0.636,Un,36,C
E,6,E6,1,1A,562,1.092,Un,37,C
F,6,F6,1,1A,562,0.788,Un,38,C
A,7,A7,1,1A,562,0.859,Un,41,C
B,7,B7,1,1A,562,1.026,Un,42,C
C,7,C7,1,1A,562,0.558,Un,44,C
D,7,D7,1,1A,562,0.965,Un,45,C
E,7,E7,1,1A,562,0.699,Un,46,C
F,7,F7,1,1A,562,0.702,Un,47,C
G,7,G7,1,1A,562,0.744,Un,48,C
H,7,H7,1,1A,562,0.985,Un,49,C
