SiteName,Site,Month,Timepoint,Species,Genotype,Cluster_ID,nCorals,nPresent,Tissue_0,Tissue_1_25,Tissue_26_50,Tissue_51_75,Tissue_76_99,Tissue_100
Oil Slick,OL,1,Initial,Apal,AP12,OL_AP12_1,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP9,OL_AP9_2,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP11,OL_AP11_2,5,5,0,0,0,0,1,4
Oil Slick,OL,1,Initial,Apal,AP11,OL_AP11_1,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP10,OL_AP10_1,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP4,OL_AP4_2,5,5,0,0,0,0,1,4
Oil Slick,OL,1,Initial,Apal,AP12,OL_AP12_2,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP2,OL_AP2_1,5,5,1,1,0,0,0,3
Oil Slick,OL,1,Initial,Apal,AP17,OL_AP17_1,5,5,0,0,1,0,0,4
Oil Slick,OL,1,Initial,Apal,AP7,OL_AP7_2,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP10,OL_AP10_2,5,5,0,0,0,1,0,4
Oil Slick,OL,1,Initial,Apal,AP5,OL_AP5_1,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP6,OL_AP6_2,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP8,OL_AP8_1,5,5,0,0,0,0,1,4
Oil Slick,OL,1,Initial,Apal,AP4,OL_AP4_1,5,5,0,0,0,0,2,3
Oil Slick,OL,1,Initial,Apal,AP7,OL_AP7_1,5,5,0,0,0,0,1,4
Oil Slick,OL,1,Initial,Apal,AP13,OL_AP13_2,5,5,1,0,0,0,0,4
Oil Slick,OL,1,Initial,Apal,AP1,OL_AP1_1,5,5,0,0,0,0,1,4
Oil Slick,OL,1,Initial,Apal,AP14,OL_AP14_2,5,5,1,0,0,0,0,4
Oil Slick,OL,1,Initial,Apal,AP8,OL_AP8_2,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP2,OL_AP2_2,5,5,0,0,0,0,1,4
Oil Slick,OL,1,Initial,Apal,AP17,OL_AP17_2,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP5,OL_AP5_2,5,5,0,0,0,1,1,3
Oil Slick,OL,1,Initial,Apal,AP13,OL_AP13_1,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP14,OL_AP14_1,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP1,OL_AP1_2,5,5,0,0,0,0,0,5
Oil Slick,OL,1,Initial,Apal,AP6,OL_AP6_1,5,5,0,0,0,0,1,4
Oil Slick,OL,1,Initial,Apal,AP9,OL_AP9_1,5,5,0,0,0,0,0,5
Oil Slick,OL,7,Mid,Apal,AP12,OL_AP12_1,5,5,0,0,0,0,2,3
Oil Slick,OL,7,Mid,Apal,AP9,OL_AP9_2,5,5,0,0,0,0,0,5
